MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainTomorrow
6.6,17.5,0.0,20,0,9,100,75,1018.8,1016.2,12.9,15.6,0
7.8,13.8,0.0,22,6,9,64,58,1028.2,1025.6,10.3,13.6,0
7.7,23.5,0.0,37,9,22,87,48,1026.8,1025.3,13.5,22.2,0
11.0,14.6,1.0,87,35,31,65,41,1012.3,1018.3,11.4,13.5,0
6.2,12.8,3.0,31,6,13,94,63,1019.4,1019.0,9.0,12.2,0
11.9,17.1,28.2,50,13,15,62,58,1019.9,1019.2,12.7,16.6,0
5.8,18.6,0.6,52,26,30,67,49,1019.3,1014.4,11.2,18.2,0
7.1,23.6,0.0,24,13,7,68,32,1025.1,1021.6,12.8,22.6,0
3.9,14.3,1.2,54,28,24,59,55,1024.4,1026.2,10.3,11.3,0
14.4,19.2,0.2,31,17,17,66,63,1025.0,1022.4,16.5,17.2,0
16.7,38.3,0.0,76,13,20,22,13,1010.1,1006.2,29.9,37.4,0
5.1,19.5,0.0,31,11,11,66,40,1033.2,1030.2,11.5,19.0,0
25.5,31.8,0.0,30,7,17,81,69,1007.1,1004.4,28.9,30.6,0
24.6,32.2,0.0,33,13,15,79,62,1013.8,1011.1,26.9,30.4,0
4.4,15.2,0.0,56,28,31,76,41,1015.5,1012.1,6.5,14.6,0
10.9,16.8,0.2,43,19,19,60,70,1032.6,1031.2,14.2,15.0,0
10.1,18.0,1.8,26,7,15,83,62,1029.5,1026.3,12.9,16.5,0
8.1,18.7,0.0,33,11,30,66,65,1028.2,1024.2,13.5,15.6,0
8.9,21.8,0.0,37,13,7,61,30,1014.1,1010.5,14.1,20.5,0
17.5,32.1,0.0,46,24,11,48,14,1016.4,1011.7,24.2,30.7,0
11.4,26.1,0.0,35,9,7,39,25,1013.1,1008.9,17.2,25.7,0
16.8,32.5,0.0,50,17,28,51,28,1016.1,1011.4,22.1,31.6,0
17.0,30.3,0.0,41,24,15,28,20,1016.4,1012.4,20.4,29.2,0
9.9,25.4,0.0,33,2,20,72,36,1016.5,1012.0,16.8,24.8,0
7.3,24.4,0.0,31,7,20,86,37,1016.2,1013.5,12.9,23.2,0
13.3,21.7,0.0,35,11,13,54,44,1020.3,1017.9,15.5,21.0,0
3.2,18.3,0.0,22,0,11,99,52,1033.1,1029.1,8.2,17.8,0
13.4,19.0,1.0,41,19,30,82,73,1020.6,1018.5,16.4,17.3,0
21.9,30.3,0.0,26,9,11,57,49,1015.2,1012.6,25.1,28.2,0
9.6,26.8,0.0,33,7,20,57,38,1020.9,1017.5,19.3,24.8,0
18.6,31.3,0.0,52,19,22,41,32,1019.6,1017.4,25.4,31.2,0
4.8,16.1,2.4,20,0,11,99,69,1031.7,1029.8,10.0,14.7,0
12.5,18.9,22.4,28,9,11,86,67,1014.8,1014.1,13.8,17.9,0
21.7,27.7,9.0,43,13,20,79,75,1017.9,1014.7,23.7,25.7,0
13.6,29.9,0.0,35,19,20,59,28,1012.7,1009.0,21.1,29.2,0
19.0,34.7,0.0,35,19,11,28,11,1021.8,1018.5,26.7,33.9,0
10.2,18.1,0.0,41,13,20,72,54,1031.2,1027.6,12.4,17.5,0
12.7,31.0,0.0,37,13,26,44,37,1010.4,1007.4,25.5,28.4,0
17.9,36.8,0.0,39,11,19,19,13,1017.4,1013.5,28.3,34.5,0
14.7,34.6,1.8,39,0,17,77,25,1008.0,1003.8,19.4,31.8,0
4.6,13.2,0.2,28,13,11,58,39,1032.8,1030.2,8.3,12.6,0
14.5,23.5,1.0,31,6,19,84,60,1016.4,1014.8,16.6,22.0,0
13.2,26.6,0.0,39,15,28,67,56,1018.3,1014.6,22.2,25.7,0
7.9,21.5,0.0,37,0,19,89,57,1018.4,1014.3,12.6,20.2,0
17.3,28.0,0.0,33,13,9,27,45,1007.4,1006.0,20.6,26.7,0
12.2,23.4,0.0,35,11,17,72,58,1008.0,1004.0,17.4,22.8,0
17.2,26.1,0.0,46,11,9,68,76,1015.6,1012.5,23.6,24.4,0
20.6,27.7,0.2,31,13,9,57,60,1017.4,1015.9,25.8,24.9,0
10.5,14.3,0.0,19,0,2,89,72,1026.7,1024.9,11.0,14.0,0
19.1,24.9,0.0,24,4,2,81,80,1009.4,1007.8,21.3,24.6,0
-0.5,11.1,0.0,19,4,7,100,67,1033.7,1030.7,4.0,10.7,0
10.7,19.9,0.0,61,33,33,53,29,1021.8,1023.0,13.6,19.0,0
11.9,25.8,0.0,43,22,22,52,17,1019.4,1016.5,17.0,24.1,0
15.3,39.1,0.0,46,24,22,13,17,1010.7,1009.7,33.3,30.9,0
6.5,19.0,0.2,39,17,19,63,55,1026.3,1024.5,13.6,18.9,0
6.8,18.5,0.0,24,9,11,67,46,1026.5,1022.3,12.7,17.9,0
16.2,26.6,0.0,54,15,33,44,53,1024.8,1020.9,21.3,25.4,0
18.9,36.5,0.0,44,30,17,54,40,1013.5,1010.0,26.4,35.5,0
7.6,15.7,3.6,17,6,7,100,49,1021.5,1020.1,9.3,14.6,0
5.7,16.5,0.0,46,7,30,90,59,1009.9,1009.0,9.4,15.3,0
22.4,30.8,145.2,54,13,17,83,75,1006.1,1002.8,25.2,29.8,0
10.2,31.5,0.0,39,17,9,57,21,1023.0,1019.9,15.7,28.3,0
20.3,23.4,0.0,50,28,28,82,76,1020.4,1019.8,21.9,22.6,0
6.6,13.3,4.0,50,31,30,99,75,1004.2,1004.8,9.5,12.8,0
9.3,27.6,0.0,37,15,19,37,19,1021.6,1017.4,19.7,26.6,0
4.3,12.7,0.2,31,15,17,77,54,1019.4,1017.5,7.1,11.8,0
17.0,27.6,0.0,44,20,30,56,60,1015.5,1013.1,24.8,26.4,0
21.0,28.6,0.0,35,17,17,60,61,1019.7,1016.4,27.6,26.8,0
7.8,26.1,0.0,35,15,20,42,40,1019.1,1016.2,19.1,24.2,0
8.6,21.1,2.2,31,17,13,55,50,1021.6,1021.5,18.3,19.3,0
8.0,14.5,0.4,20,6,2,67,53,1036.1,1033.7,10.1,14.1,0
16.6,23.4,27.2,52,13,31,95,54,1004.2,1006.3,18.2,22.3,0
10.5,16.9,1.2,33,15,15,96,76,1014.2,1013.9,12.8,15.9,0
13.4,29.1,0.0,52,24,24,61,27,1020.7,1019.3,17.9,27.5,0
16.7,21.0,0.0,31,2,7,84,87,1018.3,1016.4,19.6,18.7,0
3.7,15.0,0.0,39,9,20,87,61,1018.3,1017.5,12.1,13.5,0
7.9,23.7,0.0,33,9,17,71,49,1021.7,1018.4,16.5,21.8,0
9.5,17.0,0.0,41,20,9,74,55,1017.0,1016.1,12.0,16.8,0
23.9,33.2,0.0,37,26,17,77,43,1014.3,1009.7,27.6,32.5,0
3.5,15.2,0.0,31,11,15,70,53,1028.6,1026.5,11.3,14.6,0
6.4,19.6,0.6,28,6,15,67,48,1026.5,1023.9,13.0,18.3,0
20.0,25.8,0.0,28,7,13,67,52,1022.6,1019.3,22.1,24.1,0
21.4,34.8,0.0,30,4,13,56,47,1011.4,1007.7,28.6,32.9,0
7.8,21.9,0.0,26,7,15,74,38,1021.5,1018.2,14.2,21.6,0
14.3,28.9,0.0,30,17,11,51,20,1015.2,1011.2,16.6,27.7,0
11.3,31.4,0.0,52,9,17,62,19,1014.8,1012.5,19.0,29.3,0
11.9,25.8,0.0,43,19,30,69,36,1019.9,1016.2,17.8,24.9,0
6.0,14.6,2.4,24,6,13,88,69,1026.4,1026.0,10.5,13.7,0
13.3,16.2,0.0,33,22,20,97,88,1021.8,1019.0,13.6,15.5,0
0.7,12.6,5.4,20,2,11,100,79,1031.0,1031.2,3.8,10.2,0
12.9,26.0,0.0,41,15,19,31,17,1017.9,1016.0,18.1,24.5,0
13.2,30.7,0.0,35,17,19,39,20,1017.9,1014.7,18.6,29.0,0
19.4,33.3,11.2,54,24,31,72,23,1011.1,1006.8,23.1,32.6,0
9.1,32.1,0.0,46,7,11,46,15,1015.9,1011.9,18.6,31.1,0
21.0,28.0,0.4,33,17,17,83,60,1016.1,1013.4,23.9,28.3,0
16.9,36.6,0.0,35,20,22,10,7,1018.0,1013.1,26.6,35.4,0
8.1,21.7,0.0,33,13,17,83,49,1019.3,1018.2,12.3,20.9,0
12.4,24.1,0.0,35,13,22,64,60,1024.0,1020.7,15.9,21.0,0
20.0,25.6,0.0,43,11,24,71,69,1010.8,1006.7,24.0,24.7,0
17.9,22.5,1.8,41,15,22,72,36,1012.0,1011.8,19.2,21.6,0
17.1,27.7,0.0,24,6,11,74,48,1020.5,1017.5,21.9,25.1,0
3.0,22.0,0.0,31,11,13,38,17,1022.9,1019.7,14.0,21.3,0
13.7,21.9,0.0,43,15,24,73,58,1012.7,1011.3,16.5,20.5,0
9.7,24.6,0.0,31,17,11,62,43,1024.7,1020.9,16.6,24.6,0
10.7,23.8,0.0,39,11,17,40,26,1015.9,1013.2,15.1,23.7,0
6.9,20.2,0.0,44,11,24,54,31,1021.4,1016.8,12.0,20.0,0
15.8,37.9,0.0,50,0,9,35,26,1011.1,1006.7,26.6,34.1,0
5.6,24.0,0.0,43,9,19,65,37,1017.6,1015.5,15.9,21.5,0
23.8,33.7,0.0,35,17,22,64,37,1010.8,1007.8,28.9,33.3,0
21.0,25.4,0.0,24,7,7,84,81,1013.6,1012.6,22.5,24.4,0
14.1,21.7,0.0,33,7,20,80,52,1031.6,1029.2,17.4,21.0,0
-3.9,14.4,0.0,30,2,15,81,36,1023.8,1020.6,3.0,14.0,0
7.1,16.2,0.0,48,17,26,60,32,1017.5,1014.8,12.3,15.0,0
5.3,14.9,1.0,15,9,4,100,55,1018.1,1015.8,6.9,14.3,0
12.5,24.5,0.0,52,9,19,57,83,1021.2,1018.6,21.3,21.6,0
9.7,34.1,0.0,35,19,20,22,9,1020.3,1014.4,24.0,32.9,0
11.4,19.0,0.0,41,13,19,74,71,1020.2,1017.7,16.8,18.2,0
13.4,26.6,0.0,37,15,20,40,42,1021.9,1018.0,19.7,24.0,0
15.9,27.6,0.0,39,17,17,65,63,1011.1,1009.4,23.0,25.3,0
10.1,24.0,0.0,39,24,19,26,22,1021.6,1018.5,16.7,23.7,0
10.5,19.6,0.8,30,17,9,94,54,1021.0,1017.6,11.3,18.4,0
3.7,21.4,0.0,37,11,17,86,39,1023.5,1018.9,9.1,20.6,0
12.4,34.7,0.0,24,13,19,42,27,1024.0,1020.4,22.6,32.8,0
4.5,16.8,0.0,31,19,13,58,49,1022.7,1020.7,10.7,16.3,0
16.3,22.5,0.0,39,20,22,48,46,1008.4,1010.1,20.1,20.8,0
5.7,18.1,0.0,35,13,13,74,52,1023.0,1019.0,11.7,17.8,0
6.3,21.7,0.2,19,6,9,99,42,1024.2,1020.5,9.4,20.9,0
10.1,31.8,0.0,39,13,13,52,19,1020.9,1017.6,19.8,30.1,0
26.4,33.0,0.0,41,15,31,66,63,1013.9,1011.9,30.9,31.9,0
9.2,35.5,0.0,70,19,39,21,10,1014.2,1009.5,23.5,34.4,0
9.9,14.6,0.0,30,9,13,92,75,1031.6,1030.9,10.9,13.3,0
17.4,24.6,0.0,39,17,22,61,34,1013.5,1014.9,18.4,24.2,0
9.8,28.3,0.0,31,0,19,70,21,1022.5,1018.3,17.8,27.2,0
10.6,24.2,0.0,37,24,15,39,15,1026.8,1022.8,17.5,22.6,0
23.4,34.8,0.0,69,15,22,37,35,1005.0,1005.2,31.3,30.9,0
14.2,30.8,0.0,46,4,17,77,23,1013.2,1009.6,18.1,29.2,0
12.9,26.7,0.0,35,0,26,80,34,1018.1,1014.2,20.4,25.0,0
15.8,26.1,0.0,48,9,15,62,42,1011.5,1010.1,19.1,24.7,0
20.7,29.4,0.0,57,17,35,91,76,1006.6,1000.3,21.7,25.2,0
17.8,26.5,15.2,44,9,24,93,70,1016.7,1013.8,19.9,25.0,0
21.0,26.0,5.0,39,24,24,79,72,1020.2,1018.9,23.7,25.7,0
13.0,37.6,0.0,81,39,52,44,15,1011.0,1006.6,24.2,37.0,0
4.8,19.2,0.0,30,6,17,56,50,1019.6,1017.1,16.7,17.9,0
11.7,31.8,0.0,31,9,17,97,33,1012.9,1009.5,14.7,30.5,0
20.8,34.7,16.8,28,7,7,65,24,1011.7,1008.2,26.0,34.2,0
12.9,22.6,0.4,28,4,13,91,64,1027.2,1023.8,16.8,22.3,0
7.0,16.6,0.0,26,11,11,96,65,1027.9,1026.6,10.2,14.9,0
4.2,17.6,2.8,39,20,22,65,55,1022.4,1021.5,12.2,15.6,0
12.4,18.1,0.0,33,17,19,52,50,1015.2,1015.7,16.2,17.4,0
7.4,14.4,6.4,80,39,41,58,54,1003.7,1006.5,10.5,13.0,0
20.4,25.8,0.0,57,20,37,72,77,1016.6,1012.3,22.7,24.8,0
4.7,17.1,0.2,24,6,15,70,50,1027.5,1026.5,11.2,16.4,0
21.6,42.4,2.2,41,17,20,23,10,1006.6,1002.7,33.6,40.3,0
7.7,18.2,0.0,20,6,9,82,59,1022.5,1019.7,10.9,18.2,0
-3.8,14.2,0.0,35,0,28,99,64,1027.0,1023.0,4.2,12.7,0
4.7,23.7,0.0,26,0,19,83,38,1024.8,1018.3,12.2,23.1,0
9.6,21.7,0.0,31,4,20,89,66,1016.4,1014.7,15.5,21.3,0
5.2,18.8,0.0,15,0,7,71,47,1031.4,1028.1,10.3,18.4,0
12.1,25.8,0.2,50,13,17,36,32,1016.7,1013.7,18.1,23.7,0
6.1,21.1,0.2,54,22,30,89,42,1016.4,1009.0,12.1,20.6,0
19.9,26.8,0.0,33,9,19,65,61,1024.1,1023.3,25.0,24.6,0
7.6,28.1,0.0,39,6,22,60,38,1012.5,1009.5,18.3,26.7,0
6.3,17.8,0.0,52,33,26,41,21,1014.2,1012.2,11.2,15.8,0
11.1,23.2,0.0,35,17,11,54,39,1017.2,1013.4,16.8,21.5,0
9.3,21.2,0.2,33,13,19,43,34,1022.3,1020.7,15.0,20.1,0
12.2,26.1,0.0,24,0,4,98,52,1027.9,1023.7,17.6,26.0,0
16.5,29.4,0.0,33,11,11,65,65,1011.7,1006.8,23.1,26.5,0
4.2,15.4,0.0,28,9,19,93,69,1033.1,1031.7,9.0,13.2,0
16.1,22.4,0.0,48,19,24,60,39,1020.9,1021.4,17.4,21.3,0
10.0,24.1,0.0,50,6,24,98,56,1017.1,1014.0,12.4,23.0,0
14.4,21.1,6.0,52,30,26,62,65,1012.2,1009.5,19.5,19.3,0
-1.1,12.3,0.0,11,0,4,95,47,1027.0,1029.2,1.9,11.6,0
17.5,23.6,0.4,39,13,20,59,47,1008.2,1008.8,21.1,21.2,0
9.4,25.1,8.8,26,2,7,100,40,1015.1,1012.0,11.4,23.8,0
16.6,25.5,0.0,41,19,20,55,37,1010.0,1012.2,22.0,24.1,0
15.3,28.5,0.0,17,4,6,61,35,1018.6,1015.5,22.0,27.5,0
6.0,12.6,0.0,87,41,46,60,52,1019.4,1016.9,10.0,11.8,0
20.1,26.2,0.0,43,20,33,77,75,1017.0,1015.4,23.4,24.8,0
6.5,21.4,0.0,35,7,19,64,32,1021.5,1019.0,13.7,20.6,0
20.4,29.0,0.0,35,11,30,70,54,1016.5,1014.2,26.1,27.4,0
15.6,27.4,0.0,19,6,7,54,34,1018.0,1015.0,22.4,25.3,0
4.8,16.6,0.2,43,0,4,100,80,1027.4,1023.7,7.2,13.4,0
0.6,12.9,0.0,50,9,28,82,43,1023.4,1019.4,2.3,12.6,0
21.6,30.5,0.0,41,17,30,59,53,1014.2,1011.9,28.3,28.6,0
10.2,20.7,0.0,39,17,13,54,38,1014.9,1012.2,13.8,20.2,0
7.4,18.1,0.0,43,26,22,68,25,1029.1,1028.2,11.1,17.1,0
9.8,27.3,0.0,50,11,19,42,20,1021.0,1017.0,17.7,26.5,0
12.2,23.6,12.6,43,17,15,66,47,1015.6,1015.1,15.4,21.8,0
5.4,19.6,0.0,43,20,19,67,40,1026.1,1021.8,9.9,18.3,0
7.4,16.5,0.0,20,4,9,87,62,1023.2,1021.5,10.6,15.6,0
20.6,39.4,0.0,50,17,4,48,25,1013.4,1009.4,28.1,35.6,0
6.1,16.9,0.2,65,30,31,61,39,1010.2,1005.4,10.5,16.0,0
10.7,19.2,0.0,54,33,33,46,42,1018.3,1014.5,14.8,17.8,0
7.8,17.4,0.2,20,6,9,85,60,1024.3,1023.7,11.7,16.0,0
11.6,18.0,0.0,39,24,20,61,48,1028.8,1031.1,13.8,16.8,0
10.4,16.6,4.4,31,11,17,100,80,1018.2,1018.9,11.8,15.4,0
18.8,23.3,0.0,33,22,20,74,70,1019.8,1018.8,21.5,21.6,0
20.5,34.6,0.0,31,13,11,60,35,1011.1,1007.2,24.6,34.0,0
12.8,35.4,0.0,46,9,19,23,10,1016.6,1013.8,19.7,33.3,0
20.1,26.2,0.0,30,9,15,77,71,1014.1,1012.7,25.1,25.0,0
